country_name,country_text_id,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,deaths_late,deaths_mid,deaths_early,deaths_sum,gdppc,population,dem_cat
Mexico,MEX,2020,0.645,0.407,0.385,0.359,0.363,5.244705689932785e-4,0.00206654673439337,0.0014830775332259434,0.004074094836612592,16494.08,130262220,middle
Suriname,SUR,2020,0.737,0.595,0.453,0.6,0.537,0.0011256342287399963,1.6133904352999827e-4,1.6025530625999823e-4,0.0014472285785299926,NA,591798,democracy
Sweden,SWE,2020,0.905,0.873,0.649,0.842,0.815,-2.770066374644611e-5,4.127204176177757e-4,6.360226650482882e-4,0.0010210424189196177,45541.89,10160159,democracy
Switzerland,CHE,2020,0.892,0.847,0.787,0.855,0.825,-5.602462223820003e-5,9.624632088665988e-4,2.3575990585777515e-4,0.001142198492486174,61372.73,8715494,democracy
Ghana,GHA,2020,0.698,0.596,0.348,0.582,0.517,1.5694843681999965e-4,-3.1057874610000327e-5,-1.0500059325000075e-4,2.088996895999858e-5,4267.07,31732128,democracy
South Africa,ZAF,2020,0.701,0.577,0.43,0.6,0.477,0.0017278026100715842,0.0017111523074615975,5.254988525031712e-4,0.003964453770036353,12165.79,60041996,democracy
Japan,JPN,2020,0.822,0.731,0.535,0.734,0.741,1.7328676877894836e-4,1.971399136878776e-5,-8.373764390952764e-5,1.0926311623820849e-4,38673.81,126050796,democracy
Burma/Myanmar,MMR,2020,0.435,0.271,0.271,0.349,0.254,0.0011385377000899986,0.00046092071927999844,7.713061558999963e-5,0.0016765890349599967,5838.22,54806014,middle
Russia,RUS,2020,0.261,0.104,0.186,0.137,0.213,0.0016201886743076592,0.0024560027845900094,7.037393755095931e-4,0.004779930834407261,24668.91,145912022,autocracy
Albania,ALB,2020,0.501,0.403,0.316,0.221,0.372,7.302140286641898e-4,0.0025429486248045733,6.337856738351839e-4,0.003906948327303947,11104.17,2872934,middle
Egypt,EGY,2020,0.181,0.122,0.084,0.109,0.109,0.0012083702028130381,5.280188707626298e-4,7.46605456685658e-4,0.002482994530261326,11957.21,104258327,autocracy
Yemen,YEM,2020,0.111,0.037,0.065,0.034,0.028,6.452609489199995e-4,5.133116020899998e-4,4.7739850984000005e-4,0.0016359710608499995,2284.89,30490639,autocracy
Colombia,COL,2020,0.609,0.447,0.402,0.378,0.262,0.0016636966211341958,8.713802653669589e-4,4.989546833081714e-4,0.0030340315698093264,13545.05,51265841,middle
Poland,POL,2020,0.632,0.487,0.418,0.375,0.538,0.0010327672602372365,0.0021346161695256086,1.3703999158149192e-4,0.003304423421344338,27455.24,37797000,middle
Brazil,BRA,2020,0.69,0.511,0.444,0.381,0.348,0.0015661592330341381,8.27433120543473e-4,6.042953232906494e-4,0.0029978876768682605,14033.57,213993441,democracy
United States of America,USA,2020,0.815,0.728,0.581,0.585,0.63,4.917180579807657e-4,0.0011488704542939245,8.692525189371603e-4,0.0025098410312118504,55334.74,332915074,democracy
Portugal,PRT,2020,0.876,0.792,0.598,0.771,0.764,-2.0210285210742703e-5,0.0015103194794339754,6.613069333361543e-4,0.002151416127559387,27035.6,10167923,democracy
El Salvador,SLV,2020,0.586,0.383,0.34,0.355,0.254,7.698435925599983e-4,8.963438220099973e-4,8.580037610004949e-4,0.0025241911755704907,8598.2,6518500,middle
Bangladesh,BGD,2020,0.273,0.097,0.141,0.109,0.097,0.001640759836729996,8.945977989899991e-4,5.857347408499999e-4,0.003121092376569995,4099.25,166303494,autocracy
Bolivia,BOL,2020,0.324,0.23,0.266,0.245,0.228,0.0013740928717760554,7.710327444464265e-4,0.0017128943462534983,0.0038580199624759803,6695.77,11832936,autocracy
Haiti,HTI,2020,0.393,0.235,0.222,0.265,0.12,4.6507621096999904e-4,4.025760294499999e-4,3.3122190296999986e-4,0.0011988741433899988,1729.04,11541683,middle
Honduras,HND,2020,0.37,0.23,0.242,0.257,0.149,0.0014995536100999988,0.0012668402075699974,0.0010776282553399972,0.003844022073009993,5041.64,10062994,middle
Mali,MLI,2020,0.465,0.317,0.286,0.392,0.303,5.808673175899987e-4,-7.594203778000026e-5,-8.141684901000054e-5,4.2350843079999785e-4,1667.3,20855724,middle
Pakistan,PAK,2020,0.368,0.25,0.242,0.346,0.127,0.001501616098149997,6.798618448299981e-4,8.250398354799981e-4,0.003006517778459993,5510.4,225199929,middle
Peru,PER,2020,0.803,0.691,0.585,0.579,0.509,0.002040850760932094,0.0015190367373981836,0.0022927580314792205,0.0058526455298094976,12310.08,33359415,democracy
